SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 02-Dec-2022,23386.95,23210.25,23383.85,23000.0, 23135.00,23149.35,23169.26,2258,853, 1486, 65.81
AARTIDRUGS, EQ, 02-Dec-2022,449.05,449.0,451.9,444.0, 448.00,446.05,447.73,44748,2961, 25932, 57.95
AARTIIND, EQ, 02-Dec-2022,674.6,678.0,678.0,670.4, 674.40,673.9,672.98,678099,23691, 397774, 58.66
AAVAS, EQ, 02-Dec-2022,1900.05,1925.0,1925.0,1887.15, 1917.00,1914.35,1908.01,82647,9744, 43770, 52.96
ABB, EQ, 02-Dec-2022,2993.85,2995.35,3009.0,2922.2, 2976.20,2978.1,2958.21,440688,37453, 239828, 54.42
ABCAPITAL, EQ, 02-Dec-2022,145.7,145.25,153.3,145.0, 151.35,151.7,150.51,16353750,86221, 5397459, 33.00
ABFRL, EQ, 02-Dec-2022,316.0,315.5,319.0,312.5, 316.45,317.2,315.69,1152714,12488, 286359, 24.84
ACC, EQ, 02-Dec-2022,2577.35,2589.0,2625.65,2555.0, 2610.00,2609.3,2595.65,816152,48342, 293033, 35.90
ACCELYA, EQ, 02-Dec-2022,1655.75,1658.0,1740.2,1621.1, 1710.00,1707.3,1696.01,117432,10328, 45189, 38.48
ACE, EQ, 02-Dec-2022,333.55,333.6,336.65,330.0, 331.70,331.25,333.2,262379,6058, 106174, 40.47
ADANIENT, EQ, 02-Dec-2022,3915.1,3905.0,3963.8,3885.0, 3915.00,3922.5,3922.77,1297832,53440, 304867, 23.49
ADANIPORTS, EQ, 02-Dec-2022,890.55,894.0,903.6,884.25, 886.10,888.2,894.02,6279538,77944, 1807411, 28.78
ADFFOODS, EQ, 02-Dec-2022,836.6,824.95,833.2,811.05, 815.00,816.5,822.93,11985,1355, 5639, 47.05
ADVENZYMES, EQ, 02-Dec-2022,280.8,280.45,286.7,279.15, 283.35,283.6,283.08,55543,3097, 26747, 48.16
AEGISCHEM, EQ, 02-Dec-2022,326.45,326.0,331.35,325.0, 330.70,330.55,329.43,362482,13969, 174267, 48.08
AHLUCONT, EQ, 02-Dec-2022,430.75,437.7,438.0,429.9, 435.00,433.95,433.55,8389,465, 4267, 50.86
AIAENG, EQ, 02-Dec-2022,2733.2,2739.95,2777.95,2714.35, 2774.95,2761.85,2753.68,91063,9546, 74346, 81.64
AJANTPHARM, EQ, 02-Dec-2022,1239.5,1240.0,1260.1,1240.0, 1252.95,1252.8,1248.33,115144,11809, 94720, 82.26
AKZOINDIA, EQ, 02-Dec-2022,2297.8,2326.0,2327.0,2280.0, 2287.00,2296.6,2306.52,11563,2473, 7901, 68.33
ALEMBICLTD, EQ, 02-Dec-2022,74.8,74.8,77.55,74.7, 76.20,76.15,76.39,403759,4828, 217067, 53.76
ALKEM, EQ, 02-Dec-2022,3130.1,3140.0,3156.65,3045.55, 3132.00,3114.45,3127.3,24908,4242, 10489, 42.11
ALKYLAMINE, EQ, 02-Dec-2022,2829.25,2829.25,2847.85,2823.05, 2830.00,2829.05,2833.83,13728,3525, 6523, 47.52
ALLCARGO, EQ, 02-Dec-2022,443.7,444.7,444.9,437.9, 439.00,440.15,440.49,510897,9166, 302502, 59.21
AMARAJABAT, EQ, 02-Dec-2022,645.75,646.0,658.2,645.05, 651.05,653.1,653.56,1236467,29983, 333349, 26.96
AMBER, EQ, 02-Dec-2022,1940.9,1950.65,2092.0,1943.05, 2010.00,2011.75,2038.01,546572,34601, 221800, 40.58
AMBUJACEM, EQ, 02-Dec-2022,580.95,582.55,584.15,573.4, 577.30,577.95,577.95,7097523,60543, 3364976, 47.41
AMRUTANJAN, EQ, 02-Dec-2022,709.4,706.0,716.5,705.0, 714.00,712.35,712.14,16368,2137, 10551, 64.46
ANURAS, EQ, 02-Dec-2022,715.6,716.0,722.7,715.75, 719.75,719.6,719.97,25641,2232, 13544, 52.82
APARINDS, EQ, 02-Dec-2022,1558.75,1560.0,1594.0,1532.65, 1570.00,1576.45,1564.71,107795,10810, 34987, 32.46
APLAPOLLO, EQ, 02-Dec-2022,1132.55,1137.0,1193.0,1132.55, 1187.00,1185.5,1172.1,1372671,36810, 862397, 62.83
APLLTD, EQ, 02-Dec-2022,594.6,597.6,601.2,595.0, 599.00,598.7,598.81,44097,3095, 21210, 48.10
APOLLOHOSP, EQ, 02-Dec-2022,4775.7,4771.0,4882.95,4743.05, 4864.90,4871.45,4833.04,996306,62846, 398307, 39.98
APOLLOPIPE, EQ, 02-Dec-2022,499.1,500.0,512.95,491.75, 510.00,510.55,505.68,88004,4627, 48879, 55.54
APOLLOTYRE, EQ, 02-Dec-2022,315.5,317.4,320.85,315.4, 318.25,319.2,318.32,3277532,34700, 1055502, 32.20
ARVIND, EQ, 02-Dec-2022,95.5,95.5,100.0,95.5, 99.25,99.4,98.74,4040677,20502, 1589951, 39.35
ARVINDFASN, EQ, 02-Dec-2022,327.25,328.9,330.65,324.0, 325.00,325.2,327.38,198462,9392, 94980, 47.86
ASAHIINDIA, EQ, 02-Dec-2022,609.85,610.0,619.8,607.5, 617.00,613.1,613.85,74711,5803, 34682, 46.42
ASHIANA, EQ, 02-Dec-2022,145.3,148.5,150.4,145.0, 146.70,146.85,148.1,55214,1238, 30381, 55.02
ASHOKA, EQ, 02-Dec-2022,81.15,81.2,83.0,80.3, 81.50,81.45,81.91,1863026,11250, 715886, 38.43
ASHOKLEY, EQ, 02-Dec-2022,148.7,149.0,149.3,145.1, 146.15,146.05,146.07,13905579,73447, 5577510, 40.11
ASIANPAINT, EQ, 02-Dec-2022,3179.35,3173.15,3174.3,3134.0, 3143.00,3143.45,3142.9,932259,64413, 580923, 62.31
ASTEC, EQ, 02-Dec-2022,1987.55,1987.0,2004.95,1959.9, 1998.95,1990.45,1980.33,11098,2193, 5974, 53.83
ASTERDM, EQ, 02-Dec-2022,232.2,232.4,236.0,232.0, 233.45,233.5,234.33,213162,5980, 94988, 44.56
ASTRAL, EQ, 02-Dec-2022,1924.2,1937.0,2025.0,1930.0, 2017.90,2018.35,1988.34,1642884,94868, 414791, 25.25
ASTRAZEN, EQ, 02-Dec-2022,3329.75,3335.8,3335.8,3251.0, 3299.00,3277.65,3292.25,7368,1909, 3197, 43.39
ATFL, EQ, 02-Dec-2022,815.7,819.35,832.05,801.3, 802.00,808.85,816.59,10774,744, 8831, 81.97
ATUL, EQ, 02-Dec-2022,8664.45,8650.0,8927.0,8573.05, 8900.00,8887.35,8790.22,51728,10607, 21046, 40.69
AUBANK, EQ, 02-Dec-2022,639.2,637.9,649.95,630.2, 648.00,648.35,638.3,2011522,28652, 1348346, 67.03
AUROPHARMA, EQ, 02-Dec-2022,468.9,469.0,470.9,462.55, 470.90,470.0,467.52,1440782,23009, 593764, 41.21
AUTOAXLES, EQ, 02-Dec-2022,2001.0,2009.0,2070.0,1995.25, 2017.00,2010.65,2043.82,40511,5304, 10047, 24.80
AVANTIFEED, EQ, 02-Dec-2022,388.1,390.05,401.0,386.0, 397.35,397.2,395.9,850581,25167, 412304, 48.47
AXISBANK, EQ, 02-Dec-2022,903.85,898.3,907.0,891.4, 905.05,905.15,898.37,7988851,169729, 5409106, 67.71
BAJAJ-AUTO, EQ, 02-Dec-2022,3707.6,3707.0,3712.35,3640.8, 3660.00,3659.35,3658.27,349992,32300, 151938, 43.41
BAJAJCON, EQ, 02-Dec-2022,165.65,166.3,171.3,165.1, 169.00,169.3,169.52,1212935,15706, 639256, 52.70
BAJAJELEC, EQ, 02-Dec-2022,1113.7,1114.0,1118.05,1105.25, 1109.95,1108.5,1111.92,29369,3251, 13617, 46.37
BAJAJFINSV, EQ, 02-Dec-2022,1638.8,1632.2,1653.0,1625.25, 1644.00,1642.65,1640.32,1682841,67949, 851383, 50.59
BAJAJHLDNG, EQ, 02-Dec-2022,6314.95,6324.75,6395.0,6288.05, 6346.80,6374.45,6347.08,93573,21799, 48357, 51.68
BAJFINANCE, EQ, 02-Dec-2022,6747.75,6730.2,6741.95,6647.0, 6672.00,6675.75,6677.14,1438602,124812, 896441, 62.31
BALAMINES, EQ, 02-Dec-2022,3054.95,3046.0,3046.0,2990.1, 3010.00,3000.05,3012.62,30961,6378, 16695, 53.92
BALKRISIND, EQ, 02-Dec-2022,2063.8,2060.1,2080.0,2040.0, 2063.70,2060.9,2057.88,235809,15538, 85671, 36.33
BALMLAWRIE, EQ, 02-Dec-2022,124.1,124.15,124.6,121.7, 122.90,122.45,122.89,282441,4010, 126714, 44.86
BALRAMCHIN, EQ, 02-Dec-2022,380.25,375.65,390.55,375.65, 386.75,386.75,385.67,2457844,30139, 768536, 31.27
BANARISUG, EQ, 02-Dec-2022,3038.8,3038.8,3095.0,3032.05, 3094.50,3084.05,3064.37,812,240, 564, 69.46
BANDHANBNK, EQ, 02-Dec-2022,235.5,236.85,243.0,236.05, 240.10,240.1,240.09,17741673,103853, 5628708, 31.73
BANKBARODA, EQ, 02-Dec-2022,171.75,171.8,174.25,170.6, 171.50,171.2,172.5,24459293,159670, 8769341, 35.85
BANKINDIA, EQ, 02-Dec-2022,83.1,82.5,85.7,82.5, 84.80,84.55,84.27,19118072,48147, 8428030, 44.08
BASF, EQ, 02-Dec-2022,2666.45,2671.0,2701.45,2639.95, 2669.00,2664.0,2665.82,9004,2039, 5124, 56.91
BATAINDIA, EQ, 02-Dec-2022,1719.35,1714.05,1737.95,1710.15, 1733.95,1735.25,1727.68,339069,15275, 183715, 54.18
BBTC, EQ, 02-Dec-2022,1003.3,1007.7,1012.7,992.0, 1005.00,1005.05,1001.42,99016,5033, 33113, 33.44
BDL, EQ, 02-Dec-2022,964.5,965.0,989.35,958.65, 963.00,966.3,976.74,1195931,33984, 303146, 25.35
BECTORFOOD, EQ, 02-Dec-2022,434.4,430.5,438.95,430.5, 431.70,431.6,433.99,163454,9533, 91986, 56.28
BEL, EQ, 02-Dec-2022,104.15,104.55,106.45,104.3, 106.00,106.15,105.77,13020973,61383, 6180045, 47.46
BEML, EQ, 02-Dec-2022,1473.6,1475.0,1486.45,1450.0, 1462.00,1462.75,1472.41,45951,3998, 22962, 49.97
BEPL, EQ, 02-Dec-2022,116.1,116.85,118.4,116.0, 116.40,116.25,116.96,328972,4407, 142514, 43.32
BERGEPAINT, EQ, 02-Dec-2022,620.45,620.4,620.4,614.0, 616.20,616.4,616.18,550726,19948, 362991, 65.91
BHARATFORG, EQ, 02-Dec-2022,848.75,848.75,856.9,839.0, 854.40,854.95,848.25,974544,41312, 465486, 47.76
BHARATRAS, EQ, 02-Dec-2022,10082.95,10179.0,10179.0,10060.05, 10150.00,10121.5,10111.73,790,402, 496, 62.78
BHARTIARTL, EQ, 02-Dec-2022,848.6,851.4,851.95,839.1, 848.90,848.65,844.74,3505272,127894, 2256580, 64.38
BHEL, EQ, 02-Dec-2022,84.65,85.15,91.25,84.8, 90.75,90.55,89.29,151605821,227395, 34380646, 22.68
BIOCON, EQ, 02-Dec-2022,285.55,285.5,285.55,282.0, 283.20,283.55,283.14,987241,17910, 407984, 41.33
BIRLACORPN, EQ, 02-Dec-2022,977.8,982.9,998.0,971.0, 976.00,979.8,985.41,202328,13010, 72864, 36.01
BLUEDART, EQ, 02-Dec-2022,7546.55,7550.0,7670.0,7541.1, 7647.25,7645.85,7626.44,17621,5497, 9666, 54.86
BLUESTARCO, EQ, 02-Dec-2022,1225.25,1225.25,1237.0,1219.85, 1232.70,1230.6,1231.7,31192,4052, 20692, 66.34
BOMDYEING, EQ, 02-Dec-2022,82.45,82.7,86.45,82.5, 85.30,85.3,85.01,5377676,22489, 1615057, 30.03
BOSCHLTD, EQ, 02-Dec-2022,17038.4,17098.0,17240.0,16993.55, 17115.30,17143.3,17154.08,29867,6865, 17120, 57.32
BPCL, EQ, 02-Dec-2022,338.6,339.5,343.35,338.3, 340.95,341.1,340.49,2797809,48371, 1132608, 40.48
BRIGADE, EQ, 02-Dec-2022,501.6,503.0,503.0,491.45, 495.50,494.3,495.45,264618,7676, 157063, 59.35
BRITANNIA, EQ, 02-Dec-2022,4401.25,4400.0,4444.05,4380.3, 4415.00,4432.9,4411.07,530333,46162, 381275, 71.89
BSE, EQ, 02-Dec-2022,577.8,577.75,577.75,570.2, 573.00,572.6,573.16,432317,15392, 234904, 54.34
BSOFT, EQ, 02-Dec-2022,323.8,325.4,333.0,321.75, 331.10,331.55,328.42,5883877,57555, 1239131, 21.06
CAMLINFINE, EQ, 02-Dec-2022,157.65,156.7,159.7,155.25, 156.90,156.75,156.91,361690,5542, 166509, 46.04
CANBK, EQ, 02-Dec-2022,320.9,320.55,324.0,317.9, 318.55,319.15,320.52,5350091,34654, 1059454, 19.80
CANFINHOME, EQ, 02-Dec-2022,548.85,549.95,553.5,547.65, 551.40,551.8,551.36,406138,9507, 160417, 39.50
CAPACITE, EQ, 02-Dec-2022,140.15,140.0,145.4,139.25, 144.00,144.4,142.41,112015,3120, 43171, 38.54
CAPLIPOINT, EQ, 02-Dec-2022,755.25,759.2,766.35,749.1, 763.00,761.05,757.23,27874,2215, 16710, 59.95
CARBORUNIV, EQ, 02-Dec-2022,838.65,838.1,869.4,834.55, 860.00,861.65,852.58,50729,3823, 25798, 50.85
CARERATING, EQ, 02-Dec-2022,558.55,558.55,580.0,556.7, 573.55,572.1,571.63,164715,7163, 92536, 56.18
CASTROLIND, EQ, 02-Dec-2022,130.2,131.4,131.4,129.2, 129.80,129.6,130.14,439033,7090, 252232, 57.45
CCL, EQ, 02-Dec-2022,530.3,540.0,540.0,525.65, 532.00,529.8,531.41,186598,10182, 61644, 33.04
CDSL, EQ, 02-Dec-2022,1243.45,1244.8,1244.8,1232.2, 1237.00,1236.85,1237.57,202525,12781, 94937, 46.88
CEATLTD, EQ, 02-Dec-2022,1856.45,1859.95,1981.0,1838.05, 1929.00,1937.55,1940.98,733428,32858, 90592, 12.35
CENTRALBK, EQ, 02-Dec-2022,25.35,25.45,26.1,25.1, 25.50,25.5,25.63,15391683,16303, 4548815, 29.55
CENTRUM, EQ, 02-Dec-2022,26.65,26.95,27.45,26.2, 27.10,27.15,27.0,652934,2369, 419114, 64.19
CENTURYPLY, EQ, 02-Dec-2022,556.1,560.0,565.95,553.05, 560.00,563.75,561.18,110366,6262, 51454, 46.62
CENTURYTEX, EQ, 02-Dec-2022,802.35,795.25,824.65,793.1, 811.00,810.7,811.87,383463,16451, 82631, 21.55
CERA, EQ, 02-Dec-2022,5327.1,5336.95,5389.0,5320.0, 5364.00,5368.95,5341.81,56780,2288, 52234, 91.99
CESC, EQ, 02-Dec-2022,74.9,74.95,75.75,74.55, 75.45,75.55,75.16,1494551,8820, 891624, 59.66
CGCL, EQ, 02-Dec-2022,747.05,745.95,757.0,745.6, 748.05,751.5,751.62,90448,2778, 11011, 12.17
CHALET, EQ, 02-Dec-2022,368.3,368.0,374.4,365.4, 368.45,368.05,369.49,50415,2993, 22001, 43.64
CHAMBLFERT, EQ, 02-Dec-2022,303.45,302.05,304.7,300.6, 302.35,302.05,302.42,1312147,18366, 714712, 54.47
CHEMCON, EQ, 02-Dec-2022,299.6,303.0,313.5,299.9, 304.00,304.65,307.23,292346,10579, 101903, 34.86
CHENNPETRO, EQ, 02-Dec-2022,212.7,220.0,222.65,214.6, 216.45,216.5,217.4,1108058,13545, 344689, 31.11
CHOLAFIN, EQ, 02-Dec-2022,728.9,729.0,733.85,724.5, 730.35,731.65,729.35,1114418,49642, 402996, 36.16
CHOLAHLDNG, EQ, 02-Dec-2022,598.4,601.0,608.4,591.6, 608.00,606.75,599.27,90383,4757, 74154, 82.04
CIPLA, EQ, 02-Dec-2022,1124.9,1124.9,1124.9,1099.0, 1120.00,1114.35,1109.19,2586376,79826, 1385755, 53.58
COALINDIA, EQ, 02-Dec-2022,226.1,226.1,228.0,225.3, 226.70,226.6,226.54,6325649,52161, 3294569, 52.08
COCHINSHIP, EQ, 02-Dec-2022,670.0,670.0,673.0,655.2, 661.00,660.3,663.0,972985,24828, 211915, 21.78
COFORGE, EQ, 02-Dec-2022,4116.85,4137.0,4253.0,4120.1, 4250.00,4237.5,4204.2,520606,49035, 117036, 22.48
COLPAL, EQ, 02-Dec-2022,1608.45,1610.0,1635.0,1608.5, 1618.95,1617.9,1621.22,854450,22310, 687152, 80.42
CONCOR, EQ, 02-Dec-2022,769.85,773.45,784.0,768.2, 781.55,781.25,779.01,1217194,31923, 547936, 45.02
CONFIPET, EQ, 02-Dec-2022,77.6,77.6,79.5,77.2, 78.25,78.7,78.23,1046474,6382, 552970, 52.84
COROMANDEL, EQ, 02-Dec-2022,918.5,918.45,921.6,911.0, 913.10,914.0,916.33,365533,15221, 244793, 66.97
CRAFTSMAN, EQ, 02-Dec-2022,3173.9,3160.0,3235.0,3155.0, 3184.90,3182.15,3202.33,24885,7497, 11633, 46.75
CREDITACC, EQ, 02-Dec-2022,948.25,954.7,954.7,940.35, 944.60,947.8,946.82,57307,7073, 39482, 68.90
CRISIL, EQ, 02-Dec-2022,2915.0,2930.0,2955.0,2915.05, 2926.00,2927.75,2927.89,100138,4795, 88031, 87.91
CROMPTON, EQ, 02-Dec-2022,370.8,371.05,372.2,366.3, 370.00,368.25,368.46,690130,36854, 401178, 58.13
CSBBANK, EQ, 02-Dec-2022,219.85,219.85,223.05,219.0, 219.15,219.25,220.58,149310,2628, 71539, 47.91
CUB, EQ, 02-Dec-2022,189.45,190.5,193.0,189.95, 192.25,191.65,191.78,3569588,18860, 2048659, 57.39
CUMMINSIND, EQ, 02-Dec-2022,1437.85,1426.7,1444.5,1426.7, 1441.05,1442.1,1438.55,418013,29658, 197000, 47.13
CYIENT, EQ, 02-Dec-2022,862.1,862.1,872.7,840.0, 844.00,844.3,852.25,231157,18249, 131830, 57.03
DAAWAT, EQ, 02-Dec-2022,114.15,114.7,116.0,113.65, 115.70,115.75,115.22,890018,7815, 321778, 36.15
DABUR, EQ, 02-Dec-2022,586.8,584.9,592.95,576.5, 589.05,591.15,586.09,3556471,83169, 2312582, 65.02
DALBHARAT, EQ, 02-Dec-2022,1901.2,1898.0,1942.0,1892.0, 1936.90,1936.7,1923.92,371680,18667, 125726, 33.83
DALMIASUG, EQ, 02-Dec-2022,354.4,351.0,374.8,351.0, 367.25,366.9,366.02,347045,9130, 111870, 32.24
DBCORP, EQ, 02-Dec-2022,117.45,117.0,118.65,116.0, 117.10,117.25,117.34,213640,1964, 148794, 69.65
DBL, EQ, 02-Dec-2022,232.5,231.15,239.5,231.15, 237.50,238.1,237.04,310090,6033, 127979, 41.27
DCAL, EQ, 02-Dec-2022,98.85,98.6,99.85,97.4, 98.00,97.85,98.37,392004,5859, 247421, 63.12
DCBBANK, EQ, 02-Dec-2022,136.85,136.7,137.3,135.0, 136.85,136.5,136.14,1574294,13373, 702624, 44.63
DCMSHRIRAM, EQ, 02-Dec-2022,883.15,888.0,892.65,883.5, 888.00,888.65,888.09,40666,2399, 16682, 41.02
DEEPAKNTR, EQ, 02-Dec-2022,2165.6,2170.0,2217.85,2153.65, 2210.10,2211.5,2196.94,452506,23272, 138737, 30.66
DELTACORP, EQ, 02-Dec-2022,227.7,228.0,231.9,227.6, 229.00,228.4,229.22,3063294,27025, 1069273, 34.91
DEN, EQ, 02-Dec-2022,36.8,37.0,37.4,36.25, 36.95,37.0,36.9,1670838,4195, 533868, 31.95
DFMFOODS, EQ, 02-Dec-2022,401.25,402.0,405.6,396.1, 404.00,402.75,401.19,106330,3102, 71110, 66.88
DHAMPURSUG, EQ, 02-Dec-2022,229.9,227.85,239.0,227.75, 233.50,234.6,234.79,916166,14220, 320824, 35.02
DHANI, EQ, 02-Dec-2022,46.95,47.1,48.75,46.7, 47.00,46.95,47.28,1944615,8880, 1066160, 54.83
DHANUKA, EQ, 02-Dec-2022,712.6,712.6,716.15,702.0, 708.90,705.3,708.42,8395,909, 5311, 63.26
DIAMONDYD, EQ, 02-Dec-2022,953.8,954.15,963.95,936.05, 940.00,942.8,948.5,7952,1003, 5028, 63.23
DISHTV, EQ, 02-Dec-2022,20.8,20.85,24.4,20.5, 22.40,22.2,22.88,86492159,61285, 42803880, 49.49
DIVISLAB, EQ, 02-Dec-2022,3409.05,3395.0,3395.0,3332.0, 3383.90,3381.25,3358.29,475542,33494, 158537, 33.34
DIXON, EQ, 02-Dec-2022,4385.35,4389.0,4414.9,4360.0, 4374.00,4375.15,4382.38,112103,13606, 43066, 38.42
DLF, EQ, 02-Dec-2022,412.7,414.8,416.25,409.85, 410.60,410.75,413.33,6745441,87918, 1971911, 29.23
DMART, EQ, 02-Dec-2022,4044.15,4049.0,4055.0,3992.55, 4006.00,4005.75,4019.82,222148,32843, 126750, 57.06
DOLLAR, EQ, 02-Dec-2022,424.65,426.7,433.2,424.5, 429.10,428.65,429.02,85035,3582, 47246, 55.56
DRREDDY, EQ, 02-Dec-2022,4474.35,4484.95,4524.0,4460.15, 4521.00,4510.4,4491.26,416008,45702, 290818, 69.91
EASEMYTRIP, EQ, 02-Dec-2022,66.65,66.0,66.7,64.0, 64.20,64.3,65.11,10647168,50849, 4291942, 40.31
